exposure_id,borrower_id,connected_group_id,reporting_date,segment,product_type,borrower_type,is_individual,is_sme,managed_as_retail,retail_transactor,annual_revenue,group_total_assets,exposure_class_raw,sector,geography,currency,external_rating,internal_grade,pd_1y,origination_date,contractual_maturity_years,outstanding_balance,credit_limit,undrawn_amount,revolving_flag,commitment_type,unconditionally_cancellable_flag,accrued_interest,collateral_type,collateral_value,property_value_at_origination,property_value_current,property_cashflow_dependent,regulatory_real_estate_eligible,senior_lien_amount,guarantee_value,guarantor_type,guarantor_rating,dpd,default_flag
EXP-0028054,BOR-0027752,GRP-0027752,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,East,INR,A,A,0.0015927429058385113,2018-02-12,3.294765357145437,1051938107.7823842,2564791535.0525007,1512853427.2701166,True,other_commitment,False,240481.08405676726,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0028246,BOR-0027816,GRP-0027816,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,North,INR,AAA,AAA,0.0003092622652333849,2022-07-21,5.201159343103299,508853449.3268941,694876530.7158263,186023081.38893217,True,other_commitment,False,2304141.1079321816,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0028262,BOR-0027821,GRP-0027821,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,East,INR,A,A,0.0015545716132360778,2017-09-15,4.513192287242184,2268295792.4314413,3484783638.6560082,1216487846.224567,True,other_commitment,False,7298944.630264203,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0028268,BOR-0027823,GRP-0027823,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,East,INR,A,A,0.0014698167114530506,2019-02-07,1.9159174552691118,654818517.0156755,1348872923.8429623,694054406.8272867,True,other_commitment,False,7725174.560038418,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0028294,BOR-0027832,GRP-0027832,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,North,INR,BBB,BBB,0.003766690373285684,2020-06-01,0.5606012396703691,389300684.2988869,781736787.5112184,392436103.21233153,True,other_commitment,False,273856.01369775215,cash,180210142.42703998,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0028320,BOR-0027840,GRP-0027840,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,South,INR,B,B,0.05681051882875785,2019-06-07,1.4636486348577986,542375565.0955986,1355043667.6457198,812668102.5501212,True,other_commitment,False,5233021.378973444,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,228,1
EXP-0028414,BOR-0027872,GRP-0027872,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,South,INR,BBB,BBB,0.004681664637420292,2021-11-23,1.4734389917172148,272566703.73061556,516756145.9544365,244189442.22382092,True,other_commitment,False,2352123.0480808117,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0028499,BOR-0027900,GRP-0027900,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,West,INR,A,A,0.0013079068121750741,2020-06-01,3.40697220690029,417794344.88140273,694279834.6274493,276485489.74604654,True,other_commitment,False,3261604.8683891483,cash,341502303.7680069,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0028511,BOR-0027904,GRP-0027904,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,South,INR,A,A,0.0015338867107438652,2022-07-21,3.658368681359423,237236772.3275292,275579474.6266527,38342702.299123526,True,other_commitment,False,1059158.098621271,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0028600,BOR-0027934,GRP-0027934,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,Central,INR,AA,AA,0.0004757470050716643,2019-01-08,5.014702366924333,1084328273.2493427,1610444539.7871583,526116266.5378156,True,other_commitment,False,4156194.706468276,none,0.0,0.0,0.0,False,False,0.0,563127099.0131316,eligible_bank,AA,5,0
EXP-0021601,BOR-0021601,GRP-0021601,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BBB,BBB,0.0037373836066419254,2025-05-06,0.7102002147452513,17684.535902926993,46938.02077851344,29253.484875586448,True,unconditionally_cancellable,True,109.81290548666644,none,0.0,0.0,0.0,False,False,0.0,11015.2904575003,eligible_bank,AA,0,0
EXP-0021605,BOR-0021605,GRP-0021605,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,BB,BB,0.019617950876568393,2019-02-07,2.703578644043995,140456.84093477685,453232.3291403115,312775.48820553464,True,unconditionally_cancellable,True,1468.6330887952731,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0021718,BOR-0021718,GRP-0021718,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,CCC,CCC,0.1447846902848778,2022-11-18,6.002960502469324,323362.64574766165,883578.8909684652,560216.2452208037,True,other_commitment,False,3631.428440731759,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0021741,BOR-0021741,GRP-0021741,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,A,A,0.0017355716247335743,2023-06-16,0.7187618424755692,100240.996654572,161549.56211663995,61308.565462067956,True,unconditionally_cancellable,True,1160.5669302944852,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0021772,BOR-0021772,GRP-0021772,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,West,INR,B,B,0.054868250726273216,2025-05-06,2.855932687297737,87676.88597111501,242386.8857830668,154709.99981195177,True,unconditionally_cancellable,True,293.33255329703456,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0021814,BOR-0021814,GRP-0021814,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,A,A,0.0011076393031560217,2017-06-17,3.17370057007673,42435.96484493473,61444.04435667635,19008.07951174162,True,unconditionally_cancellable,True,203.0121495458146,none,0.0,0.0,0.0,False,False,0.0,12005.46594348732,eligible_bank,AA,15,0
EXP-0021882,BOR-0021882,GRP-0021882,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,B,B,0.07302374155260735,2021-05-27,2.439633491671413,55799.74889014561,89882.47017116383,34082.721281018225,True,unconditionally_cancellable,True,386.9025724393747,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0021891,BOR-0021891,GRP-0021891,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,B,B,0.059600204069550314,2022-11-18,2.7518164828012686,117370.95530498431,228298.94491973595,110927.98961475164,True,unconditionally_cancellable,True,1118.884651446725,none,0.0,0.0,0.0,False,False,0.0,89065.8754097414,eligible_bank,AA,15,0
EXP-0022007,BOR-0022007,GRP-0022007,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,A,A,0.0023145240561138307,2020-05-02,1.8014673852826022,91706.64984751063,154675.2058195845,62968.55597207385,True,unconditionally_cancellable,True,456.82260745086813,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0022013,BOR-0022013,GRP-0022013,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,BBB,BBB,0.0028056133735327444,2016-12-19,6.4844473665525335,73469.07977993353,122568.91899601079,49099.839216077264,True,unconditionally_cancellable,True,70.35903784172895,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0022056,BOR-0022056,GRP-0022056,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,West,INR,B,B,0.049353211996260915,2020-11-28,0.34729316062182514,125086.48166674317,141322.3094387989,16235.827772055723,True,unconditionally_cancellable,True,934.2224919816407,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0022071,BOR-0022071,GRP-0022071,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,B,B,0.061321500347807305,2023-08-15,1.3704561184221793,65084.13325988096,121403.52873683989,56319.395476958925,True,unconditionally_cancellable,True,119.16136144936365,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0022157,BOR-0022157,GRP-0022157,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,BBB,BBB,0.004480441802580105,2021-01-27,3.6690949985659853,37483.72150664341,48154.11126826429,10670.389761620885,True,unconditionally_cancellable,True,300.1374411784729,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0022293,BOR-0022293,GRP-0022293,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,BBB,BBB,0.002865263316618362,2023-08-15,0.8854262965279326,36080.05082524532,40142.59827728127,4062.5474520359494,True,unconditionally_cancellable,True,304.0752091018772,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0022320,BOR-0022320,GRP-0022320,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,B,B,0.05190985227225773,2016-09-20,2.000117652377873,72944.75444206144,101243.42689548388,28298.672453422434,True,unconditionally_cancellable,True,48.73321421020249,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0022444,BOR-0022444,GRP-0022444,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,North,INR,BB,BB,0.022761875234594546,2017-05-18,0.47827514117144526,113742.00909499303,171488.2451179316,57746.23602293857,True,other_commitment,False,1361.831729181884,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0022535,BOR-0022535,GRP-0022535,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BBB,BBB,0.005430940220426232,2017-10-15,2.6788228018925775,128703.7657300349,266963.26821666595,138259.50248663104,True,unconditionally_cancellable,True,121.7515722206597,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0022566,BOR-0022566,GRP-0022566,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,Central,INR,BB,BB,0.01744298649891734,2024-09-08,1.6958481733751543,124821.22411668178,200477.22587612722,75656.00175944544,True,unconditionally_cancellable,True,604.4408130623249,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0022640,BOR-0022640,GRP-0022640,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,West,INR,A,A,0.0018733815980784376,2024-01-12,1.0724627052716251,297021.50872873404,644568.226686219,347546.71795748494,True,unconditionally_cancellable,True,362.1346563771647,none,0.0,0.0,0.0,False,False,0.0,75293.23217053126,eligible_bank,AA,5,0
EXP-0022671,BOR-0022671,GRP-0022671,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,BB,BB,0.015284647054092881,2021-09-24,2.415321421217639,55453.696984085786,79344.80268110745,23891.105697021667,True,unconditionally_cancellable,True,269.89988735928597,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0022672,BOR-0022672,GRP-0022672,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,BB,BB,0.014956013573405034,2016-09-20,1.6146719861882337,103556.02412603062,277598.775289153,174042.75116312236,True,unconditionally_cancellable,True,354.49521387855845,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0022685,BOR-0022685,GRP-0022685,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,A,A,0.0017532667464850112,2017-02-17,0.75924872775503,80956.82412678371,106189.43612826795,25232.61200148423,True,unconditionally_cancellable,True,873.3349040153383,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0022723,BOR-0022723,GRP-0022723,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,North,INR,BB,BB,0.015837933429207016,2017-12-14,3.9013971658989712,29265.389925533647,34826.909100314544,5561.519174780897,True,unconditionally_cancellable,True,328.9262529398594,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0022824,BOR-0022824,GRP-0022824,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,North,INR,BBB,BBB,0.003747799266086323,2020-06-01,2.290503172891325,31942.332672869295,75030.75681520857,43088.42414233928,True,other_commitment,False,303.60503286038073,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0022843,BOR-0022843,GRP-0022843,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,B,B,0.03656866248581377,2020-10-29,2.029383489891977,70435.01921428264,122025.4681088273,51590.448894544665,True,unconditionally_cancellable,True,748.5818409587641,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0023114,BOR-0023114,GRP-0023114,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,BB,BB,0.02065766019472802,2022-03-23,6.599245851833262,249270.83759669604,485445.65100236726,236174.81340567122,True,unconditionally_cancellable,True,2610.3729497002296,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0023181,BOR-0023181,GRP-0023181,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,A,A,0.0018552044032306082,2024-06-10,4.794436879791991,116612.75791512098,190113.55900672043,73500.80109159945,True,other_commitment,False,984.3941281593156,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0023190,BOR-0023190,GRP-0023190,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,West,INR,A,A,0.0014292199695185564,2016-12-19,2.39925201947606,83846.54981061658,134281.38777741883,50434.83796680225,True,unconditionally_cancellable,True,252.09903467182838,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0023238,BOR-0023238,GRP-0023238,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,B,B,0.048774673780888504,2017-10-15,2.4612308418653464,177873.82086469457,207151.0591492413,29277.238284546736,True,unconditionally_cancellable,True,1704.6693279580295,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0023306,BOR-0023306,GRP-0023306,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,BBB,BBB,0.003184338766830711,2023-04-17,3.0295355255606604,140118.07805033665,182207.92474074513,42089.84669040848,True,unconditionally_cancellable,True,260.2579512365489,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0023475,BOR-0023475,GRP-0023475,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BBB,BBB,0.0038518016114061342,2017-02-17,4.177594428550032,36878.31905224977,68328.3841973149,31450.065145065128,True,unconditionally_cancellable,True,431.1334128822048,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0023482,BOR-0023482,GRP-0023482,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,B,B,0.0336422020995324,2024-02-11,1.7362245809674,68966.84846388311,97211.84980006513,28245.001336182017,True,unconditionally_cancellable,True,547.9302021336175,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0023483,BOR-0023483,GRP-0023483,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,South,INR,BB,BB,0.012689518443692727,2023-08-15,2.2787044311621836,78617.98217566912,171503.8060666718,92885.82389100267,True,unconditionally_cancellable,True,261.93066873037634,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0023589,BOR-0023589,GRP-0023589,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,BB,BB,0.015798193407781495,2016-09-20,3.5880371787524203,57304.75342511904,100017.04338714713,42712.289962028095,True,other_commitment,False,479.9762474438921,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0023663,BOR-0023663,GRP-0023663,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BBB,BBB,0.0037759409025215213,2024-01-12,2.9507716019411836,65393.81344720054,130689.06996686454,65295.256519664,True,other_commitment,False,491.009981727075,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0023693,BOR-0023693,GRP-0023693,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BB,BB,0.018481923715566593,2019-10-05,2.2162232063365606,16055.549160939696,18389.148186298193,2333.599025358497,True,other_commitment,False,165.95893089342124,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0023713,BOR-0023713,GRP-0023713,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,West,INR,BB,BB,0.020770401630970957,2021-07-26,1.4114119126194642,142447.49019111972,337377.09349060716,194929.60329948744,True,unconditionally_cancellable,True,1220.7762516446858,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0023874,BOR-0023874,GRP-0023874,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,BB,BB,0.017365398517962698,2019-12-04,1.7776740283868269,143707.2091906999,322366.7824492056,178659.57325850567,True,unconditionally_cancellable,True,761.0196608992568,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0024036,BOR-0024036,GRP-0024036,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,East,INR,BBB,BBB,0.004649811796766455,2017-06-17,4.480096637358307,145420.31772358977,317952.76411856234,172532.44639497256,True,other_commitment,False,1425.7938343355215,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0024092,BOR-0024092,GRP-0024092,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,North,INR,B,B,0.04783742008125213,2023-09-14,0.25,52014.22121847176,72360.87449296635,20346.653274494594,True,unconditionally_cancellable,True,405.8194134041048,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0024159,BOR-0024159,GRP-0024159,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,B,B,0.0425178949849551,2024-11-07,1.3059480089368642,112923.08791056093,224075.31259190183,111152.2246813409,True,unconditionally_cancellable,True,162.11876604120732,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0024200,BOR-0024200,GRP-0024200,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,North,INR,BB,BB,0.010552245004494682,2025-02-05,4.421049679744212,55918.680749303894,88592.16020537137,32673.479456067478,True,unconditionally_cancellable,True,307.8978685865608,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,30,0
EXP-0024244,BOR-0024244,GRP-0024244,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BB,BB,0.015773785307427617,2018-10-10,2.0364407352437532,113748.29270221983,197158.15113649363,83409.8584342738,True,unconditionally_cancellable,True,744.3788700191905,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0024431,BOR-0024431,GRP-0024431,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,North,INR,BBB,BBB,0.005134204151931799,2022-05-22,1.2994519022068842,91788.7432352062,109183.52787823402,17394.784643027815,True,other_commitment,False,133.54175676707527,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0024465,BOR-0024465,GRP-0024465,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,CCC,CCC,0.17276219776454035,2020-04-02,5.62480701535104,171954.94810609258,233263.01275483775,61308.064648745174,True,unconditionally_cancellable,True,1373.5094044888215,none,0.0,0.0,0.0,False,False,0.0,70554.18102630814,eligible_bank,AA,0,0
EXP-0024474,BOR-0024474,GRP-0024474,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,North,INR,BBB,BBB,0.0060569895740756685,2025-07-05,1.375302661690326,56685.15260482553,76215.88303892988,19530.73043410435,True,unconditionally_cancellable,True,528.1995519914312,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0024492,BOR-0024492,GRP-0024492,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,Central,INR,CCC,CCC,0.17717847910148282,2018-06-12,4.292837465791684,124857.47988608333,201764.1730152785,76906.69312919518,True,unconditionally_cancellable,True,1444.2011569199817,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0024532,BOR-0024532,GRP-0024532,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,South,INR,A,A,0.001688834975855811,2021-04-27,1.195243659022172,100147.07188063765,169673.964604303,69526.89272366535,True,unconditionally_cancellable,True,613.1853152816282,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0024566,BOR-0024566,GRP-0024566,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,West,INR,BBB,BBB,0.0037614258968639565,2018-02-12,1.9084505652753243,51052.45446254079,130807.45711125288,79755.00264871209,True,unconditionally_cancellable,True,364.9253728339803,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0024579,BOR-0024579,GRP-0024579,2026-06-30,credit_card,credit_card,individual,True,False,True,False,0.0,0.0,credit_card,Households,West,INR,BBB,BBB,0.00426891343502066,2024-10-08,1.3392724214928233,148078.8072950525,229413.8897088107,81335.08241375818,True,unconditionally_cancellable,True,1755.0677040057687,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0024629,BOR-0024629,GRP-0024629,2026-06-30,credit_card,credit_card,individual,True,False,True,True,0.0,0.0,credit_card,Households,South,INR,B,B,0.04919887694607242,2022-01-22,4.182213794562804,79615.67444700503,107236.45166002859,27620.777213023553,True,other_commitment,False,552.3562636010845,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
